
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="convenio_2m",="convenio_5m",="convenio_m5m"

="main",="",="",="",="",="",="",="",="",=""
="1.treatment",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment",="0.051**",="0.019",="0.047**",="0.0077",="0.018",="0.11",="0.0035",="-0.0069",="-0.0025"
="",="(0.022)",="(0.019)",="(0.021)",="(0.019)",="(0.014)",="(0.083)",="(0.021)",="(0.024)",="(0.025)"

="3.treatment",="0.054***",="0.033*",="",="",="0.016",="0.079",="-0.0028",="-0.030",="-0.053"
="",="(0.019)",="(0.018)",="",="",="(0.019)",="(0.15)",="(0.023)",="(0.028)",="(0.036)"

="7.junta",="0",="0",="0.036",="0.011",="-0.044",="-0.24*",="-0.048",="-0.18***",="-0.13**"
="",="(.)",="(.)",="(0.050)",="(0.047)",="(0.028)",="(0.14)",="(0.041)",="(0.042)",="(0.050)"

="0.p_actor",="",="0",="",="0",="0",="0",="0",="0",="0"
="",="",="(.)",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.p_actor",="",="0.14***",="",="0.14*",="0.14***",="0.66***",="0.11**",="0.094*",="0.070"
="",="",="(0.050)",="",="(0.072)",="(0.041)",="(0.17)",="(0.046)",="(0.048)",="(0.050)"

="1.treatment#0.p_actor",="",="0",="",="0",="0",="0",="0",="0",="0"
="",="",="(.)",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treatment#1.p_actor",="",="0",="",="0",="0",="0",="0",="0",="0"
="",="",="(.)",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment#0.p_actor",="",="0",="",="0",="0",="0",="0",="0",="0"
="",="",="(.)",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment#1.p_actor",="",="0.16**",="",="0.16*",="0.16***",="0.39**",="0.18***",="0.16**",="0.14**"
="",="",="(0.079)",="",="(0.089)",="(0.056)",="(0.19)",="(0.061)",="(0.064)",="(0.061)"

="3.treatment#0.p_actor",="",="0",="",="",="0",="0",="0",="0",="0"
="",="",="(.)",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="3.treatment#1.p_actor",="",="0.16**",="",="",="0.16**",="0.51**",="0.21***",="0.27***",="0.20**"
="",="",="(0.074)",="",="",="(0.071)",="(0.26)",="(0.079)",="(0.075)",="(0.078)"

="2.junta",="",="",="0",="0",="0",="0",="0",="0",="0"
="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="9.junta",="",="",="0.0099",="0.0011",="0.0013",="0.0036",="0.029",="-0.055",="0.030"
="",="",="",="(0.041)",="(0.039)",="(0.038)",="(0.17)",="(0.043)",="(0.051)",="(0.063)"

="11.junta",="",="",="0.21***",="0.21***",="0.21***",="0.74***",="0.24***",="0.20***",="0.23***"
="",="",="",="(0.044)",="(0.044)",="(0.042)",="(0.15)",="(0.051)",="(0.048)",="(0.055)"

="16.junta",="",="",="-0.0083",="-0.029",="-0.026",="-0.15",="-0.038",="-0.11***",="-0.047"
="",="",="",="(0.032)",="(0.032)",="(0.029)",="(0.13)",="(0.033)",="(0.039)",="(0.047)"

="_cons",="0.060***",="0.034***",="0.11***",="0.10***",="0.094***",="-1.34***",="0.15***",="0.39***",="0.45***"
="",="(0.013)",="(0.011)",="(0.030)",="(0.030)",="(0.026)",="(0.12)",="(0.043)",="(0.039)",="(0.049)"

="N",="1074",="1074",="1092",="1092",="2166",="2166",="2166",="2166",="2166"
="R-squared",="0.0072",="0.12",="0.051",="0.11",="0.13",=".",="0.12",="0.11",="0.087"
="DepVarMean",="0.095",="0.095",="0.20",="0.20",="0.15",="0.15",="0.19",="0.32",="0.43"
="InteractionVarMean",="",="0.18",="",="0.18",="0.18",="0.18",="0.18",="0.18",="0.18"
="Pvalue_c",="0.88",="0.53",="",="",="0.94",="0.82",="0.79",="0.40",="0.15"
="Pvalue",="",="0.98",="",="",="1.00",="0.58",="0.68",="0.085",="0.38"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
